"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상","2023년12월_남_총인구수","2023년12월_남_연령구간인구수","2023년12월_남_0~9세","2023년12월_남_10~19세","2023년12월_남_20~29세","2023년12월_남_30~39세","2023년12월_남_40~49세","2023년12월_남_50~59세","2023년12월_남_60~69세","2023년12월_남_70~79세","2023년12월_남_80~89세","2023년12월_남_90~99세","2023년12월_남_100세 이상","2023년12월_여_총인구수","2023년12월_여_연령구간인구수","2023년12월_여_0~9세","2023년12월_여_10~19세","2023년12월_여_20~29세","2023년12월_여_30~39세","2023년12월_여_40~49세","2023년12월_여_50~59세","2023년12월_여_60~69세","2023년12월_여_70~79세","2023년12월_여_80~89세","2023년12월_여_90~99세","2023년12월_여_100세 이상"
"전라남도 담양군 가사문학면(4671033500)","1,184","1,184","18","41","72","52","90","237","309","175","158","31","1","597","597","9","18","40","24","51","130","178","81","58","8","0","587","587","9","23","32","28","39","107","131","94","100","23","1"
"전라남도 담양군 창평면(4671034000)","3,555","3,555","94","254","244","203","320","631","828","535","395","50","1","1,813","1,813","52","118","144","108","181","361","453","248","137","11","0","1,742","1,742","42","136","100","95","139","270","375","287","258","39","1"
"전라남도 담양군 대덕면(4671035000)","1,877","1,877","40","92","148","106","139","367","484","256","216","27","2","971","971","18","56","85","54","77","205","273","125","74","4","0","906","906","22","36","63","52","62","162","211","131","142","23","2"
"전라남도 담양군 무정면(4671036000)","2,397","2,397","55","71","288","135","160","383","554","389","313","48","1","1,277","1,277","25","39","228","76","96","230","295","179","102","7","0","1,120","1,120","30","32","60","59","64","153","259","210","211","41","1"
"전라남도 담양군 금성면(4671037000)","2,458","2,458","47","91","160","126","236","409","599","391","332","61","6","1,244","1,244","20","49","92","68","149","246","307","191","106","16","0","1,214","1,214","27","42","68","58","87","163","292","200","226","45","6"
"전라남도 담양군 용면(4671038000)","1,776","1,776","48","62","119","99","156","328","419","310","207","25","3","887","887","29","29","58","52","90","181","218","152","69","8","1","889","889","19","33","61","47","66","147","201","158","138","17","2"
"전라남도 담양군 월산면(4671039000)","2,298","2,298","67","109","128","151","199","424","533","374","276","33","4","1,188","1,188","38","57","77","72","114","245","305","174","99","6","1","1,110","1,110","29","52","51","79","85","179","228","200","177","27","3"
"전라남도 담양군 수북면(4671040000)","4,766","4,766","188","331","424","295","535","920","1,005","569","426","70","3","2,436","2,436","116","186","229","162","288","503","541","282","110","19","0","2,330","2,330","72","145","195","133","247","417","464","287","316","51","3"
"전라남도 담양군 대전면(4671041000)","4,190","4,190","145","363","305","266","437","777","837","542","451","65","2","2,066","2,066","73","171","177","132","241","443","450","245","119","15","0","2,124","2,124","72","192","128","134","196","334","387","297","332","50","2"
"전라남도 곡성군 (4672000000)","26,905","26,905","786","1,644","2,029","1,539","2,588","4,630","5,709","3,942","3,399","624","15","13,375","13,375","392","907","1,134","819","1,418","2,585","3,093","1,822","1,071","133","1","13,530","13,530","394","737","895","720","1,170","2,045","2,616","2,120","2,328","491","14"
