"행정구역","2023년12월_계_총세대수","2023년12월_계_연령구간세대수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상","2023년12월_남_총세대수","2023년12월_남_연령구간세대수","2023년12월_남_0~9세","2023년12월_남_10~19세","2023년12월_남_20~29세","2023년12월_남_30~39세","2023년12월_남_40~49세","2023년12월_남_50~59세","2023년12월_남_60~69세","2023년12월_남_70~79세","2023년12월_남_80~89세","2023년12월_남_90~99세","2023년12월_남_100세 이상","2023년12월_여_총세대수","2023년12월_여_연령구간세대수","2023년12월_여_0~9세","2023년12월_여_10~19세","2023년12월_여_20~29세","2023년12월_여_30~39세","2023년12월_여_40~49세","2023년12월_여_50~59세","2023년12월_여_60~69세","2023년12월_여_70~79세","2023년12월_여_80~89세","2023년12월_여_90~99세","2023년12월_여_100세 이상"
"광주광역시 동구 지원1동(2911073000)","1,715","1,715","0","4","149","269","192","270","390","256","157","28","0","768","768","0","1","80","148","128","135","159","80","32","5","0","947","947","0","3","69","121","64","135","231","176","125","23","0"
"광주광역시 동구 지원2동(2911074000)","3,248","3,248","0","4","302","679","460","530","673","351","209","37","3","1,463","1,463","0","1","141","393","263","238","262","119","40","5","1","1,785","1,785","0","3","161","286","197","292","411","232","169","32","2"
"광주광역시 서구 (2914000000)","57,136","57,136","12","139","10,324","10,375","8,018","9,277","9,248","5,743","3,481","508","11","27,791","27,791","7","61","4,752","6,213","5,095","5,208","3,902","1,752","719","81","1","29,345","29,345","5","78","5,572","4,162","2,923","4,069","5,346","3,991","2,762","427","10"
"광주광역시 서구 양동(2914057500)","1,064","1,064","0","0","76","88","127","163","236","200","151","23","0","507","507","0","0","40","61","85","110","117","58","33","3","0","557","557","0","0","36","27","42","53","119","142","118","20","0"
"광주광역시 서구 양3동(2914059000)","937","937","0","1","49","86","134","165","221","163","101","16","1","423","423","0","1","26","56","88","95","91","44","20","2","0","514","514","0","0","23","30","46","70","130","119","81","14","1"
"광주광역시 서구 농성1동(2914065000)","3,820","3,820","1","10","711","707","495","596","588","414","251","47","0","1,838","1,838","1","4","279","395","284","382","279","148","59","7","0","1,982","1,982","0","6","432","312","211","214","309","266","192","40","0"
"광주광역시 서구 농성2동(2914066000)","1,791","1,791","1","3","330","310","225","315","327","147","114","19","0","989","989","1","1","151","186","151","220","181","63","33","2","0","802","802","0","2","179","124","74","95","146","84","81","17","0"
"광주광역시 서구 광천동(2914073000)","1,846","1,846","0","0","138","251","303","412","373","225","124","19","1","1,074","1,074","0","0","78","179","232","270","191","86","34","4","0","772","772","0","0","60","72","71","142","182","139","90","15","1"
"광주광역시 서구 유덕동(2914074000)","2,090","2,090","0","7","302","389","379","384","289","194","135","11","0","1,188","1,188","0","2","198","263","279","252","136","35","21","2","0","902","902","0","5","104","126","100","132","153","159","114","9","0"
"광주광역시 서구 치평동(2914074500)","5,995","5,995","3","16","1,471","1,540","984","816","566","350","220","29","0","2,719","2,719","1","2","588","813","542","415","220","84","45","9","0","3,276","3,276","2","14","883","727","442","401","346","266","175","20","0"
"광주광역시 서구 상무1동(2914075100)","6,203","6,203","1","19","1,783","1,463","935","830","665","336","144","27","0","3,414","3,414","1","5","873","961","632","495","301","105","35","6","0","2,789","2,789","0","14","910","502","303","335","364","231","109","21","0"
"광주광역시 서구 상무2동(2914075200)","7,666","7,666","1","15","1,814","1,307","790","1,018","1,278","868","512","60","3","3,693","3,693","0","8","755","779","537","586","602","315","104","7","0","3,973","3,973","1","7","1,059","528","253","432","676","553","408","53","3"
"광주광역시 서구 화정1동(2914076000)","4,843","4,843","0","8","1,306","1,051","640","602","569","378","233","55","1","2,220","2,220","0","2","534","574","387","326","234","104","47","12","0","2,623","2,623","0","6","772","477","253","276","335","274","186","43","1"
"광주광역시 서구 화정2동(2914077000)","2,183","2,183","2","4","237","396","285","351","422","299","163","24","0","975","975","2","2","104","241","180","176","155","82","31","2","0","1,208","1,208","0","2","133","155","105","175","267","217","132","22","0"
"광주광역시 서구 화정3동(2914078000)","1,847","1,847","0","5","263","264","221","303","355","239","172","24","1","820","820","0","4","117","159","131","163","137","68","37","4","0","1,027","1,027","0","1","146","105","90","140","218","171","135","20","1"
"광주광역시 서구 화정4동(2914079000)","2,468","2,468","0","15","301","420","278","361","567","319","177","29","1","1,014","1,014","0","10","133","249","159","157","177","94","31","4","0","1,454","1,454","0","5","168","171","119","204","390","225","146","25","1"
"광주광역시 서구 서창동(2914080000)","1,100","1,100","0","0","74","112","126","251","290","132","99","16","0","667","667","0","0","45","69","100","186","187","61","18","1","0","433","433","0","0","29","43","26","65","103","71","81","15","0"
"광주광역시 서구 금호1동(2914082100)","3,381","3,381","0","6","260","371","394","636","814","519","330","49","2","1,366","1,366","0","2","143","204","223","290","303","143","52","6","0","2,015","2,015","0","4","117","167","171","346","511","376","278","43","2"
