기준 일자,정류소 명,정류소 번호,정류소 ID,권역,행정동 명,X 좌표,위도,Y 좌표,경도
20260228,가구단지사거리,37456,163000456,미추홀구,도화23동,169518.1216,126.6561606,442161.1145,37.48113609
20260228,가구단지사거리,37455,163000455,미추홀구,도화23동,169554.0301,126.6565673,442143.098,37.48097495
20260228,가구전시장,42074,168000074,서구,가좌1동,170491.5498,126.6670993,443820.5204,37.49611874
20260228,가구전시장,42072,168000072,서구,가좌1동,170500.2784,126.667199,443797.2203,37.49590909
20260228,가나안마을앞,43904,169000904,강화군,불은면,155875.4911,126.5006072,463964.8421,37.67702577
20260228,가나안마을앞,43905,169000905,강화군,불은면,155867.8046,126.5005189,463984.6073,37.67720347
20260228,가능포,43969,169000969,강화군,양도면,149280.0965,126.426036,461253.5258,37.65225757
20260228,가능포,43970,169000970,강화군,양도면,149263.5695,126.4258499,461236.357,37.65210198
20260228,가락시장역,33038,123000038,코드정보 없음,가락1동,210270.7086,127.1169304,443591.7293,37.49447426
20260228,가락시장역,33035,123000035,코드정보 없음,가락1동,210302.7201,127.1172922,443578.672,37.49435626
20260228,가림고등학교,42078,168000078,서구,가좌2동,171677.3875,126.6805247,443410.5204,37.4924619
20260228,가산디지털단지역,18107,117000021,기타,금천구(가산동),189449.3024,126.8815029,442083.695,37.48088229
20260228,가산디지털단지역,18106,117000020,기타,금천구(가산동),189411.7276,126.8810774,442129.5195,37.48129473
20260228,가야,42808,168000808,서구,오류왕길동,164527.9042,126.5991692,454011.041,37.58772215
20260228,가야,42807,168000807,서구,오류왕길동,164546.3165,126.5993771,454021.7676,37.5878195
20260228,가양대교남단(미정차),25203,115000626,코드정보 없음,가양3동,187132.8599,126.8551434,451745.0751,37.56790106
20260228,가양대교남단(미정차),25202,115000627,코드정보 없음,가양2동,187110.6233,126.854892,451726.8002,37.56773609
20260228,가양역.우성아파트,25107,115000163,코드정보 없음,가양2동,186979.6705,126.8534208,451107.2678,37.56215234
20260228,가오대입구,80033,232000661,코드정보 없음,양촌면,165939.3191,126.6148009,461473.5097,37.65500936
20260228,가오대입구,80034,232000660,코드정보 없음,양촌면,165919.8454,126.6145795,461490.178,37.65515881
20260228,가원초등학교,89118,168001118,서구,가정1동,170133.2104,126.6629078,447247.6308,37.52698482
20260228,가원초등학교,42952,168000952,서구,가정1동,170097.9377,126.6625026,447398.5843,37.52834374
20260228,가을1리,44048,170000048,옹진군,백령면,,0,,0
20260228,가을2리,44050,170000050,옹진군,백령면,,0,,0
20260228,가재우물터,35700,161000700,중구,영종동,160479.0014,126.5538066,445138.6293,37.50761978
20260228,가재우물터,35678,161000678,중구,영종동,160483.5746,126.5538578,445148.7071,37.50771077
20260228,가재울사거리,42042,168000042,서구,가좌3동,171573.0114,126.6793694,442765.8607,37.48665039
20260228,가재울사거리,42039,168000039,서구,가좌4동,171563.5775,126.6792645,442719.9514,37.48623646
20260228,가재울역1번출구,42035,168000035,서구,가좌4동,171919.6522,126.6832971,442548.2677,37.48470053
20260228,가재울역2번출구,42033,168000033,서구,가좌4동,172066.5381,126.6849631,442409.9943,37.48345916
20260228,가재울역3번출구,42032,168000032,서구,가좌4동,172059.8026,126.6848882,442378.447,37.48317472
20260228,가재울역4번출구,42034,168000034,서구,가좌4동,171886.3816,126.6829212,442540.3887,37.48462852
