정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
갑문,35504,236,18,236,18,0,8.47
강남시장,42172,17766,12774,17766,12774,0,1018
강남시장,42173,8228,9007,8228,9007,0,574.5
강남역도시에빛,31076,5321,7325,5321,7325,0,421.53
강남역서초현대타워앞,31016,52695,32604,52695,32604,0,2843.3
강남중교,43213,296,12,296,12,0,10.27
강남중교,43278,49,393,48,393,1,14.73
강서구청사거리.서울디지털대학교(중),16007,1247,506,1247,506,0,58.43
강서구청사거리.서울디지털대학교(중),16008,740,1402,740,1402,0,71.4
강서중학교,43660,3,139,3,139,0,4.73
강서중학교,43898,166,19,165,19,1,6.17
강인여객,40020,1064,1604,1064,1604,0,88.93
강인여객,40022,1110,727,1110,727,0,61.23
강화갯벌장어,43633,1,1,1,1,0,0.07
강화갯벌장어,43671,0,3,0,3,0,0.1
강화고등학교,43564,5,21,5,21,0,0.87
강화고등학교,43761,89,92,89,92,0,6.03
강화군노인문화센터,90373,53,85,53,85,0,4.6
강화군노인문화센터,90374,73,52,73,52,0,4.17
강화군청,43065,4103,1647,4053,1647,50,191.67
강화군청,43108,1779,3174,1772,3174,7,165.1
"강화군청,수라면옥",90487,203,79,201,79,2,9.4
"강화군청,수라면옥",90488,6,261,6,261,0,8.9
강화군행복센터,43055,252,2272,250,2272,2,84.13
강화군행복센터,43056,65,377,65,377,0,14.73
강화루지.강남상회,43150,230,121,230,121,0,11.7
강화루지.강남상회,43250,60,251,60,251,0,10.37
강화마니산,43001,52,78,52,78,0,4.33
강화마니산,43002,610,219,610,219,0,27.63
강화문화원.종합전시관,43097,76,85,76,85,0,5.37
강화문화원.종합전시관,43098,336,842,335,842,1,39.27
강화병원,43088,49,3677,49,3677,0,124.2
강화병원,43089,2355,121,2355,121,0,82.53
강화산단,90123,0,19,0,19,0,0.63
강화산단입구,90096,15,50,15,50,0,2.17
강화산단입구,90097,9,2,9,2,0,0.37
강화산성서문,43080,358,383,357,383,1,24.7
강화산성서문,43081,71,163,71,163,0,7.8
강화서문,43063,898,489,896,489,2,46.23
강화서문,43064,498,790,491,790,7,42.93
강화소방서,43364,83,320,83,320,0,13.43
강화소방서,43587,363,108,363,108,0,15.7
강화수양관앞,43467,83,14,83,14,0,3.23
강화수양관앞,43732,5,40,5,40,0,1.5
강화슈퍼,43066,1414,1396,1409,1396,5,93.67
강화슈퍼,43068,1775,782,1743,782,32,85.23
강화여자중학교,90334,19,179,19,179,0,6.6
강화여자중학교,90481,42,39,42,39,0,2.7
강화역사박물관(고인돌),43601,384,38,384,38,0,14.07
강화역사박물관(고인돌),43670,26,447,26,447,0,15.77
강화유치원,90484,1,2,1,2,0,0.1
강화유치원,90485,0,22,0,22,0,0.73
강화장례식장,43918,1750,220,1733,220,17,65.67
강화장례식장,43946,50,2089,50,2089,0,71.3
강화중학교,43207,35,121,35,121,0,5.2
강화중학교,43623,54,54,54,54,0,3.6
강화터미널,43057,12,710,12,710,0,24.07
강화터미널,43058,312,904,312,904,0,40.53
강화터미널,43096,71060,49113,70675,49113,385,4005.77
개항동어울터,35197,8274,1751,8274,1751,0,334.17
개항동어울터,35198,2065,8633,2065,8633,0,356.6
개화119안전센터,25023,24,1505,24,1505,0,50.97
개화119안전센터,25024,1465,25,1465,25,0,49.67
개화역1번출구.개화검문소,25030,453,8402,453,8402,0,295.17
개화역1번출구.개화검문소,25031,2993,408,2993,408,0,113.37
개화역광역환승센터,25182,1202,2151,1202,2151,0,111.77
갤러리84입구,35666,28,32,28,32,0,2
갤러리84입구,35667,33,35,33,35,0,2.27
갯벌슈퍼,43410,0,26,0,26,0,0.87
갯벌슈퍼,43513,6,5,6,5,0,0.37
거북시장,42132,12711,10272,12711,10272,0,766.1
거북시장,42136,12304,10395,12304,10395,0,756.63
거산정공.(주)록키,39137,1631,2063,1631,2063,0,123.13
거여목체육공원,41674,4,39,4,39,0,1.43
거잠포선착장,35302,62,162,56,162,6,7.47
거잠포선착장,35303,296,73,296,73,0,12.3
거잠포회센터,35588,38,32,38,32,0,2.33
건설기술교육원,39353,6600,10783,6600,10783,0,579.43
건설기술교육원,39354,5276,4547,5276,4547,0,327.43
건영아파트·나사렛국제병원,38069,14975,41411,14975,41411,0,1879.53
건일아파트,43015,626,341,626,341,0,32.23
건일아파트,43094,311,430,311,430,0,24.7
건지사거리,42882,89,0,89,0,0,2.97
건지사거리,42883,0,114,0,114,0,3.8
건평,43168,126,59,124,59,2,6.17
건평,43186,6,28,6,28,0,1.13
건평리,43187,31,14,31,14,0,1.5
건평리,43651,28,28,28,28,0,1.87
건평마을회관,43594,17,34,17,34,0,1.7
건평입구,43170,1,12,1,12,0,0.43
건평입구,43331,13,25,12,25,1,1.27
걸포북변역.국민연금공단,35560,719,5368,719,5368,0,202.9
걸포북변역.국민연금공단,35610,4629,782,4629,782,0,180.37
걸포사거리.김포우리병원,35657,171,847,171,847,0,33.93
걸포사거리.우리병원,35561,1053,495,1053,495,0,51.6
검단1교차로,89575,73,143,73,143,0,7.2
검단1교차로,89576,20,335,20,335,0,11.83
검단1차피오레·금호어울림아파트,89457,1146,367,1146,367,0,50.43
검단1차피오레·금호어울림아파트,89458,128,1000,128,1000,0,37.6
검단2교차로,89581,6,400,6,400,0,13.53
검단AA25단지,89619,4,68,4,68,0,2.4
검단LH13단지후문,89558,979,883,979,883,0,62.07
검단LH13단지후문,89559,481,693,481,693,0,39.13
검단LH26단지아파트,89545,1087,1119,1087,1119,0,73.53
검단LH26단지후문,89553,372,315,372,315,0,22.9
검단LH36단지,89548,1153,763,1153,763,0,63.87
검단LH36단지,89549,1184,1200,1184,1200,0,79.47
검단LH행복주택,89408,3931,3572,3931,3572,0,250.1
검단공구상가,89053,13,681,13,681,0,23.13
검단공구상가,89065,369,152,369,152,0,17.37
검단구청.검단소방서,42428,2769,4491,2769,4491,0,242
검단구청.검단소방서,42431,768,2931,768,2931,0,123.3
검단구청.검단소방서후문,89550,106,460,106,460,0,18.87
검단금호어울림센트럴아파트,89546,1022,538,1022,538,0,52
검단농기구센터,89316,86,5,86,5,0,3.03
검단농기구센터,89324,1,174,1,174,0,5.83
검단농협,42432,23997,7422,23986,7422,11,1047.3
검단농협,42434,5577,13683,5574,13683,3,642
검단대성베르힐,89467,1641,1074,1641,1074,0,90.5
