정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
검단동행정복지센터(검단고교),42441,3815,7494,3814,7494,1,376.97
검단동행정복지센터(검단고교),42445,4138,5205,4134,5205,4,311.43
검단디에트르리버파크,89476,879,3036,879,3036,0,130.5
검단디에트르리버파크,89477,3244,880,3244,880,0,137.47
검단로744번길,89611,1181,517,1181,517,0,56.6
검단로744번길,89612,356,1230,356,1230,0,52.87
검단로제비앙라포레,89483,4330,1348,4330,1348,0,189.27
검단로지스틱스파크,41339,1945,908,1945,908,0,95.1
검단로지스틱스파크,42395,974,3831,974,3831,0,160.17
검단메가박스,42383,2171,1668,2171,1668,0,127.97
검단메가박스,42384,451,1057,451,1057,0,50.27
검단모아미래도엘리트,89466,2625,3882,2625,3882,0,216.9
검단모아엘가그랑데아파트,42483,1737,1479,1737,1479,0,107.2
검단사거리,42423,14669,11013,14669,11013,0,856.07
검단사거리,42424,5158,9321,5158,9321,0,482.63
검단사거리역,42419,14672,14944,14672,14944,0,987.2
검단사거리역,42426,2432,8769,2432,8769,0,373.37
검단사거리역,42427,7509,3554,7503,3554,6,368.77
검단사거리역,42537,9581,12803,9581,12803,0,746.13
검단신도시예미지더시그너스,89415,3611,1632,3611,1632,0,174.77
검단신도시예미지더시그너스,89416,1247,3288,1247,3288,0,151.17
검단신도시우미린리버포레,89409,5094,4684,5094,4684,0,325.93
검단신안인스빌어반퍼스트,89511,2171,209,2171,209,0,79.33
검단신안인스빌어반퍼스트,89512,501,1465,501,1465,0,65.53
검단예미지트리플에듀,89543,1128,1317,1128,1317,0,81.5
검단예미지트리플에듀,89551,1293,632,1293,632,0,64.17
검단예미지트리플에듀2701동,89552,363,293,363,293,0,21.87
검단예미지트리플에듀아파트,89484,643,1498,643,1498,0,71.37
검단오류공단,42702,30,526,30,526,0,18.53
검단오류공단,42703,271,27,271,27,0,9.93
검단오류역,89057,8431,1392,8431,1392,0,327.43
검단오류역,89060,1119,8406,1119,8406,0,317.5
검단오류역우방아이유쉘,89067,751,1233,751,1233,0,66.13
검단오류역우방아이유쉘,89068,1584,427,1584,427,0,67.03
검단오류풍림아이원,89251,556,418,556,418,0,32.47
검단오류풍림아이원,89252,606,482,606,482,0,36.27
검단우미린더헤리티지,89525,129,161,129,161,0,9.67
검단우미린더헤리티지,89526,229,230,229,230,0,15.3
검단우미린파크뷰1단지,89499,456,429,456,429,0,29.5
검단우미린파크뷰1단지,89500,589,139,589,139,0,24.27
검단우미린파크뷰2단지,89469,4265,2194,4265,2194,0,215.3
검단우미린파크뷰2단지,89501,3374,3545,3374,3545,0,230.63
검단우방아이유쉘아파트,42688,383,891,383,891,0,42.47
검단원흥아파트,42400,1570,958,1570,958,0,84.27
검단원흥아파트,42401,960,2608,960,2608,0,118.93
검단유승한내들에듀파크정문,89567,1984,794,1984,794,0,92.6
검단지식산업센타,89054,6908,76,6908,76,0,232.8
검단지식산업센타,89063,56,5004,56,5004,0,168.67
검단천로,89590,259,45,259,45,0,10.13
검단천로,89591,29,362,29,362,0,13.03
검단초등학교,42475,10525,7003,10525,7003,0,584.27
검단초등학교,42482,6406,4757,6406,4757,0,372.1
검단초등학교,89332,123,135,117,135,6,8.6
검단초등학교,89333,106,155,105,155,1,8.7
검단탑종합병원,42877,659,844,659,844,0,50.1
검단탑종합병원,89596,201,10,201,10,0,7.03
검단하나아파트,42421,3439,525,3439,525,0,132.13
검단하나아파트,42422,472,860,471,860,1,44.4
검단한신더휴캐널파크1103동,89404,3473,7578,3473,7578,0,368.37
검단한신더휴캐널파크1103동,89405,9991,4389,9991,4389,0,479.33
검단한신더휴캐널파크정문,89566,636,1442,636,1442,0,69.27
검단호수공원역,89584,2358,530,2358,530,0,96.27
검단호수공원역,89585,113,3628,113,3628,0,124.7
검단힐스테이트4차,89597,149,9,149,9,0,5.27
검단힐스테이트5차아파트,42557,531,438,531,438,0,32.3
검단힐스테이트5차아파트,42558,341,884,341,884,0,40.83
검마루로.검단AA21단지,89607,148,9,148,9,0,5.23
검마루로.금강펜테리움,89618,3,580,3,580,0,19.43
검마루로.중흥S클래스,89620,275,159,275,159,0,14.47
검마루로.풍경채어바니티2차,89606,5,463,5,463,0,15.6
