facility_id,facility_name,district,address,observation_count,source_count,source_datasets,category_details,observation_ids,match_rule
fac_70d16383609b2bd2,모아재가복지센터,연수구,인천광역시 연수구 먼우금로 299 (태경아파트 상가 202호),2,1,incheon_elderly,방문목욕 | 방문요양,obs_01967fa38bf19870 | obs_19e168df9f77d021,exact_normalized_district_name_address
fac_70d42b5c26fc5371,양지재가복지센터,계양구,"인천광역시 계양구 경명대로 1142번길 1, 201호 (계산동, 주공상가)",2,2,incheon_elderly | nhis_ltc,방문요양 | 재가노인복지시설 방문요양,obs_0a3f37854708d775 | obs_2d88bafce0a3d9cb,exact_normalized_district_name_address
fac_70e19278abfaa412,평화노인복지센터,남동구,인천광역시 남동구 만경로12번길 1(만수동),3,2,incheon_elderly | nhis_ltc,방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_020d2ee728002d27 | obs_32323c47e2c554de | obs_32f65d000a772a9c,exact_normalized_district_name_address
fac_70f31528a8cd0d9e,은빛노인복지센터,서구,"인천광역시 서구 율도로111번길 13 101동비01호 (가정동, 인정아트빌)",2,2,incheon_elderly | nhis_ltc,방문요양 | 재가노인복지시설 방문요양,obs_6030586772a25dad | obs_925381faf69a7285,exact_normalized_district_name_address
fac_7125708c6c3196c6,인천이화재가노인복지센터,부평구,"인천광역시 부평구 시장로 33, 604호 (부평동)",3,1,incheon_elderly,방문간호 | 방문목욕 | 방문요양,obs_0185d5827f274a7b | obs_0bfb56dcac4f993f | obs_265b5061a218263d,exact_normalized_district_name_address
fac_712ed6fb5802a44a,예가온요양원,남동구,"인천광역시 남동구 담방로 80, 제지~6층 (만수동)",2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_8456bd479ded3b69 | obs_ee12e059af37f202,exact_normalized_district_name_address
fac_7160ba937be91a0c,샬롬요양원,서구,"인천광역시 서구 검단로 474, 901호 (왕길동)",2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_0d2e6a950920e5e1 | obs_35dfc577706aaf95,exact_normalized_district_name_address
fac_72031429ba48c85b,송원재가노인복지센터,동구,인천광역시 동구 송림로43번길 35(송림동),4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_6a2b85e0cfebc602 | obs_7f3a8c3175003e1a | obs_a1128474dc84c2d5 | obs_f1bd3f4f79bb5e8d,exact_normalized_district_name_address
fac_72203df25c798f18,가나재가노인복지센터,남동구,"인천광역시 남동구 논현로 106, 604동 1101호 (논현동, 어진마을 한화 꿈에그린)",4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_8234438f487d13c0 | obs_9de17cdb9e980149 | obs_c7567b647fb38c46 | obs_ea08dfec1fa27de1,exact_normalized_district_name_address
fac_724381fbe5827832,새날요양원,남동구,"인천광역시 남동구 석산로 248, 4층 (구월동)",2,2,incheon_elderly | nhis_ltc,노인요양공동생활가정,obs_18277cdf3570aec9 | obs_7bf969f438ebcfdc,exact_normalized_district_name_address
