source_date,mode,place_id,source_id,source_code,name,source_district,district,dong,admin_dong_code,latitude,longitude,coordinate_status,in_incheon
20260228,bus,bus:232000660,232000660,80034,가오대입구,코드정보 없음,코드정보 없음,양촌면,,37.6551588,126.6145795,valid_header_swapped,false
20260228,bus,bus:168001118,168001118,89118,가원초등학교,서구,서해구,가정1동,,37.5269848,126.6629078,valid_header_swapped,true
20260228,bus,bus:168000952,168000952,42952,가원초등학교,서구,서해구,가정1동,,37.5283437,126.6625026,valid_header_swapped,true
20260228,bus,bus:170000048,170000048,44048,가을1리,옹진군,옹진군,백령면,,,,missing,false
20260228,bus,bus:170000050,170000050,44050,가을2리,옹진군,옹진군,백령면,,,,missing,false
20260228,bus,bus:161000700,161000700,35700,가재우물터,중구,영종구,영종동,,37.5076198,126.5538066,valid_header_swapped,true
20260228,bus,bus:161000678,161000678,35678,가재우물터,중구,영종구,영종동,,37.5077108,126.5538578,valid_header_swapped,true
20260228,bus,bus:168000042,168000042,42042,가재울사거리,서구,서해구,가좌3동,,37.4866504,126.6793694,valid_header_swapped,true
20260228,bus,bus:168000039,168000039,42039,가재울사거리,서구,서해구,가좌4동,,37.4862365,126.6792645,valid_header_swapped,true
20260228,bus,bus:168000035,168000035,42035,가재울역1번출구,서구,서해구,가좌4동,,37.4847005,126.6832971,valid_header_swapped,true
20260228,bus,bus:168000033,168000033,42033,가재울역2번출구,서구,서해구,가좌4동,,37.4834592,126.6849631,valid_header_swapped,true
20260228,bus,bus:168000032,168000032,42032,가재울역3번출구,서구,서해구,가좌4동,,37.4831747,126.6848882,valid_header_swapped,true
20260228,bus,bus:168000034,168000034,42034,가재울역4번출구,서구,서해구,가좌4동,,37.4846285,126.6829212,valid_header_swapped,true
20260228,bus,bus:168001075,168001075,89075,가정(루원시티)역,서구,서해구,가정1동,,37.5245177,126.6741868,valid_header_swapped,true
20260228,bus,bus:168001078,168001078,89078,가정(루원시티)역,서구,서해구,가정1동,,37.5250359,126.6737614,valid_header_swapped,true
20260228,bus,bus:168001050,168001050,89050,가정(루원시티)역,서구,서해구,가정1동,,37.5246480,126.6744306,valid_header_swapped,true
20260228,bus,bus:168001051,168001051,89051,가정(루원시티)역,서구,서해구,가정1동,,37.5248819,126.6750625,valid_header_swapped,true
20260228,bus,bus:168000226,168000226,42226,가정3동성당,서구,서해구,가정3동,,37.5188735,126.6822431,valid_header_swapped,true
20260228,bus,bus:168001041,168001041,89041,가정LH3단지정문앞,서구,서해구,가정1동,,37.5310915,126.6658834,valid_header_swapped,true
20260228,bus,bus:168000200,168000200,42200,가정고등학교,서구,서해구,석남3동,,37.5128766,126.6788034,valid_header_swapped,true
20260228,bus,bus:168000203,168000203,42203,가정고등학교,서구,서해구,가정3동,,37.5129789,126.6789964,valid_header_swapped,true
20260228,bus,bus:168001502,168001502,89502,가정교,서구,서해구,청라동,,37.5383738,126.6634793,valid_header_swapped,true
20260228,bus,bus:168001503,168001503,89503,가정교,서구,서해구,청라동,,37.5379581,126.6630345,valid_header_swapped,true
20260228,bus,bus:168001391,168001391,89391,가정교차로,서구,서해구,가정1동,,37.5245966,126.6699760,valid_header_swapped,true
20260228,bus,bus:168001390,168001390,89390,가정교차로,서구,서해구,가정1동,,37.5251181,126.6700681,valid_header_swapped,true
20260228,bus,bus:168001102,168001102,89102,가정동성당,서구,서해구,신현원창동,,37.5232875,126.6628067,valid_header_swapped,true
20260228,bus,bus:168001105,168001105,89105,가정동성당,서구,서해구,신현원창동,,37.5235829,126.6623954,valid_header_swapped,true
20260228,bus,bus:168001120,168001120,89120,가정보금자리,서구,서해구,가정1동,,37.5284935,126.6627243,valid_header_swapped,true
20260228,bus,bus:168001119,168001119,89119,가정보금자리,서구,서해구,가정1동,,37.5275751,126.6626533,valid_header_swapped,true
20260228,bus,bus:168000041,168000041,42041,가정여자중학교,서구,서해구,가좌4동,,37.4846085,126.6856304,valid_header_swapped,true
20260228,bus,bus:168001527,168001527,89527,가정여자중학교,서구,서해구,가좌동,,37.4846797,126.6858513,valid_header_swapped,true
20260228,bus,bus:168001303,168001303,89303,가정여중입구,서구,서해구,가좌4동,,37.4869016,126.6854823,valid_header_swapped,true
20260228,bus,bus:168000219,168000219,42219,가정중앙시장역,서구,서해구,가정1동,,37.5178739,126.6766994,valid_header_swapped,true
20260228,bus,bus:168000215,168000215,42215,가정중앙시장역,서구,서해구,가정1동,,37.5174583,126.6769745,valid_header_swapped,true
20260228,bus,bus:168001386,168001386,89386,가정택지삼거리,서구,서해구,가정1동,,37.5323558,126.6630306,valid_header_swapped,true
20260228,bus,bus:168001385,168001385,89385,가정택지삼거리,서구,서해구,가정1동,,37.5323535,126.6625711,valid_header_swapped,true
20260228,bus,bus:168001186,168001186,89186,가정휴먼시아3단지,서구,서해구,가정1동,,37.5299227,126.6653494,valid_header_swapped,true
20260228,bus,bus:168001187,168001187,89187,가정휴먼시아3단지,서구,서해구,가정1동,,37.5300991,126.6652376,valid_header_swapped,true
20260228,bus,bus:168000076,168000076,42076,가좌2동행정복지센터,서구,서해구,가좌2동,,37.4909236,126.6844456,valid_header_swapped,true
20260228,bus,bus:168000073,168000073,42073,가좌2동행정복지센터,서구,서해구,가좌2동,,37.4908299,126.6843631,valid_header_swapped,true
