geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,current_admin_dong_count,current_admin_dong_codes_20260701,current_district_names_20260701,current_dong_names_20260701,map_unit_status,aggregation_required,metric_handling,notes
vworld_sgis_20250630:23090590,23090590,미추홀구,용현5동,20250630,1,2817757000,미추홀구,용현5동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090600,23090600,미추홀구,학익1동,20250630,1,2817758000,미추홀구,학익1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090610,23090610,미추홀구,학익2동,20250630,1,2817759000,미추홀구,학익2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090620,23090620,미추홀구,도화1동,20250630,1,2817760000,미추홀구,도화1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090650,23090650,미추홀구,주안1동,20250630,1,2817762000,미추홀구,주안1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090660,23090660,미추홀구,주안2동,20250630,1,2817763000,미추홀구,주안2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090670,23090670,미추홀구,주안3동,20250630,1,2817764000,미추홀구,주안3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090680,23090680,미추홀구,주안4동,20250630,1,2817765000,미추홀구,주안4동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090690,23090690,미추홀구,주안5동,20250630,1,2817766000,미추홀구,주안5동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090700,23090700,미추홀구,주안6동,20250630,1,2817767000,미추홀구,주안6동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090710,23090710,미추홀구,주안7동,20250630,1,2817768000,미추홀구,주안7동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090720,23090720,미추홀구,주안8동,20250630,1,2817769000,미추홀구,주안8동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090730,23090730,미추홀구,관교동,20250630,1,2817770000,미추홀구,관교동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090740,23090740,미추홀구,문학동,20250630,1,2817771000,미추홀구,문학동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090750,23090750,미추홀구,숭의1·3동,20250630,1,2817752000,미추홀구,숭의1.3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090760,23090760,미추홀구,용현1·4동,20250630,1,2817754000,미추홀구,용현1.4동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090770,23090770,미추홀구,도화2·3동,20250630,1,2817761000,미추홀구,도화2.3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23510110,23510110,강화군,강화읍,20250630,1,2871025000,강화군,강화읍,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23510310,23510310,강화군,선원면,20250630,1,2871031000,강화군,선원면,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23510320,23510320,강화군,불은면,20250630,1,2871032000,강화군,불은면,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23510330,23510330,강화군,길상면,20250630,1,2871033000,강화군,길상면,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23510340,23510340,강화군,화도면,20250630,1,2871034000,강화군,화도면,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23510350,23510350,강화군,양도면,20250630,1,2871035000,강화군,양도면,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23510360,23510360,강화군,내가면,20250630,1,2871036000,강화군,내가면,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23510370,23510370,강화군,하점면,20250630,1,2871037000,강화군,하점면,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23510380,23510380,강화군,양사면,20250630,1,2871038000,강화군,양사면,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23510390,23510390,강화군,송해면,20250630,1,2871039000,강화군,송해면,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23510400,23510400,강화군,교동면,20250630,1,2871040000,강화군,교동면,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23510410,23510410,강화군,삼산면,20250630,1,2871041000,강화군,삼산면,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23510420,23510420,강화군,서도면,20250630,2,2871042000|2871042500,강화군,서도면|서도면볼음출장소,parent_with_branch_office,true,sum_additive_counts_then_recompute_rates,상위 읍면과 출장소의 가산 지표를 하나의 공간구역에 합산
vworld_sgis_20250630:23520310,23520310,옹진군,북도면,20250630,2,2872031000|2872031500,옹진군,북도면|북도면장봉출장소,parent_with_branch_office,true,sum_additive_counts_then_recompute_rates,상위 읍면과 출장소의 가산 지표를 하나의 공간구역에 합산
vworld_sgis_20250630:23520320,23520320,옹진군,연평면,20250630,1,2872038000,옹진군,연평면,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
