reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,households_total,one_person_households,two_person_households,three_person_households,four_person_households,five_person_households,six_person_households,seven_person_households,eight_person_households,nine_person_households,ten_plus_person_households,one_person_household_share_pct,source_file
2021,2021-12,2820058000,인천광역시 남동구 만수3동,인천광역시,남동구,만수3동,pre_reform_code_preserved_district_not_reorganized,7438,2374,1945,1506,1238,300,61,11,1,0,2,31.9172,jumin_households_size_202112.csv
2021,2021-12,2820058100,인천광역시 남동구 만수4동,인천광역시,남동구,만수4동,pre_reform_code_preserved_district_not_reorganized,9166,3062,2498,1844,1420,285,41,14,1,1,0,33.4061,jumin_households_size_202112.csv
2021,2021-12,2820058200,인천광역시 남동구 만수5동,인천광역시,남동구,만수5동,pre_reform_code_preserved_district_not_reorganized,7646,3426,2029,1247,711,178,42,10,2,0,1,44.8077,jumin_households_size_202112.csv
2021,2021-12,2820058300,인천광역시 남동구 만수6동,인천광역시,남동구,만수6동,pre_reform_code_preserved_district_not_reorganized,10319,3435,2653,2026,1688,392,94,20,9,0,2,33.2881,jumin_households_size_202112.csv
2021,2021-12,2820065000,인천광역시 남동구 장수서창동,인천광역시,남동구,장수서창동,pre_reform_code_preserved_district_not_reorganized,7987,2298,2103,1612,1446,415,81,24,7,0,1,28.7718,jumin_households_size_202112.csv
2021,2021-12,2820065500,인천광역시 남동구 서창2동,인천광역시,남동구,서창2동,pre_reform_code_preserved_district_not_reorganized,15837,4840,3480,3334,3354,708,92,19,7,2,1,30.5613,jumin_households_size_202112.csv
2021,2021-12,2820066000,인천광역시 남동구 남촌도림동,인천광역시,남동구,남촌도림동,pre_reform_code_preserved_district_not_reorganized,9306,3287,2535,1690,1386,342,49,15,1,1,0,35.3213,jumin_households_size_202112.csv
2021,2021-12,2820069000,인천광역시 남동구 논현1동,인천광역시,남동구,논현1동,pre_reform_code_preserved_district_not_reorganized,13475,4605,3199,2542,2455,532,104,29,5,2,2,34.1744,jumin_households_size_202112.csv
2021,2021-12,2820070000,인천광역시 남동구 논현2동,인천광역시,남동구,논현2동,pre_reform_code_preserved_district_not_reorganized,15094,6065,3799,2473,2064,558,105,26,2,2,0,40.1815,jumin_households_size_202112.csv
2021,2021-12,2820071000,인천광역시 남동구 논현고잔동,인천광역시,남동구,논현고잔동,pre_reform_code_preserved_district_not_reorganized,15694,4345,3182,3297,3860,827,144,27,5,5,2,27.6857,jumin_households_size_202112.csv
2021,2021-12,2823751000,인천광역시 부평구 부평1동,인천광역시,부평구,부평1동,pre_reform_code_preserved_district_not_reorganized,16748,6671,4035,3076,2326,490,109,30,6,4,1,39.8316,jumin_households_size_202112.csv
2021,2021-12,2823752000,인천광역시 부평구 부평2동,인천광역시,부평구,부평2동,pre_reform_code_preserved_district_not_reorganized,7205,3159,1846,1122,829,186,50,7,3,1,2,43.8446,jumin_households_size_202112.csv
2021,2021-12,2823753000,인천광역시 부평구 부평3동,인천광역시,부평구,부평3동,pre_reform_code_preserved_district_not_reorganized,6300,2872,1540,1106,594,142,34,5,2,2,3,45.5873,jumin_households_size_202112.csv
2021,2021-12,2823754000,인천광역시 부평구 부평4동,인천광역시,부평구,부평4동,pre_reform_code_preserved_district_not_reorganized,18607,8825,4366,2920,1947,451,79,10,4,3,2,47.4284,jumin_households_size_202112.csv
2021,2021-12,2823755000,인천광역시 부평구 부평5동,인천광역시,부평구,부평5동,pre_reform_code_preserved_district_not_reorganized,15476,6858,3804,2591,1736,395,63,25,3,0,1,44.3138,jumin_households_size_202112.csv
2021,2021-12,2823756000,인천광역시 부평구 부평6동,인천광역시,부평구,부평6동,pre_reform_code_preserved_district_not_reorganized,7285,3202,1823,1240,802,174,36,5,1,0,2,43.9533,jumin_households_size_202112.csv
2021,2021-12,2823757000,인천광역시 부평구 산곡1동,인천광역시,부평구,산곡1동,pre_reform_code_preserved_district_not_reorganized,5466,2167,1479,970,655,149,34,5,6,0,1,39.6451,jumin_households_size_202112.csv
