facility_id,facility_name,district,legal_dong,address,category_major,category_detail,facility_form,road_name_normalized,road_building_main,road_building_sub,matched_pnu,juso_current_district,juso_legal_dong,juso_admin_dong_code,juso_admin_dong_name,geocode_status,geocode_method,match_confidence,matched_juso_building_count,matched_vworld_polygon_count,source_latitude,source_longitude,geocoded_latitude,geocoded_longitude,best_latitude,best_longitude,coordinate_source,privacy_scope,requires_public_export_policy_review
fac_6011ae36c4cdd50a,가족사랑실버센터,부평구,갈산동,"인천광역시 부평구 갈월동로 42, 107호 (갈산동, 동아아파트상가동)",노인복지,방문목욕 | 방문요양,재가복지,갈월동로,42,0,2823710600103690000,부평구,갈산동,2823764200,갈산2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,4,14,,,37.51056079,126.73081086,37.51056079,126.73081086,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_6018ce45ee2e0f06,가좌의료기,서구,가좌동,"인천광역시 서구 장고개로 265 101호 (가좌동, 가좌동 대미안)",노인복지,복지용구 | 재가노인복지시설 복지용구,장기요양기관 | 재가복지,장고개로,265,0,2827511000102360023,서해구,가좌동,2827559000,가좌2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.48842599,126.68162012,37.48842599,126.68162012,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_6019c72fefb4c90c,해솔케어재가복지센터,서구,심곡동,"인천광역시 서구 심곡로 133, 209호 (심곡동, 대동아파트 상가)",노인복지,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,심곡로,133,0,2827510500102850000,서해구,심곡동,2827553000,연희동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,21,,,37.54494171,126.68102079,37.54494171,126.68102079,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_603004a394153385,인천간호센터,미추홀구,숭의동,"인천광역시 미추홀구 석정로 6, 2층 (숭의동, 인천한방병원)",노인복지,재가노인복지시설,,석정로,6,0,2817710100103410020,미추홀구,숭의동,2817751000,숭의2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,37.46028518,126.6420936,37.46043001,126.64234841,37.46028518,126.6420936,source_dataset_coordinate,private_analysis_only,true
fac_60622e13b26ec80f,어울림재가복지센터,계양구,작전동,"인천광역시 계양구 주부토로459번길 15 상가동201호 (작전동, 한화아파트)",노인복지,재가장기요양기관 방문요양,장기요양기관,주부토로459번길,15,0,2824510300108580000,계양구,작전동,2824562200,작전2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,6,,,37.53505393,126.72647431,37.53505393,126.72647431,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_606b40c74eba6a2d,가족사랑주야간보호센터,연수구,청학동,"인천광역시 연수구 청능대로93, 3층 (청학동, 이리옴프라자)",노인복지,방문요양,재가복지,청능대로,93,0,2818510400105030004,연수구,청학동,2818576600,청학동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.4143564,126.67570845,37.4143564,126.67570845,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_6078e86a4ad28e33,만수사회복지관,남동구,만수1동,인천광역시 남동구 담방로 105(만수1동),지역복지,종합사회복지관,이용,담방로,105,0,2820010300110050000,남동구,만수동,2820056000,만수1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,54,22,,,37.45060527,126.73837172,37.45060527,126.73837172,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_608249219ef5b73a,섬김재가복지센터(폐업 2026.6.30),강화군,관청리,"인천광역시 강화군 강화읍 관청리 490-10, 4층",노인복지,방문목욕 | 방문요양,재가복지,,,,,,,,,road_not_parsed,,none,0,0,,,,,,,none,private_analysis_only,true
fac_608982525d1410c3,인천광역시학대피해노인전용쉼터,남동구,,인천광역시 남동구 비공개,노인복지,학대피해노인전용쉼터,생활,,,,,,,,,road_not_parsed,,none,0,0,,,,,,,none,private_analysis_only,true
fac_60ab42b3cc8551ad,(주)엘앤씨지 인천노인장기요양센터,서구,가좌동,"인천광역시 서구 고래울로38번길 4-10, 1층 (가좌동)",노인복지,방문목욕 | 방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,장기요양기관 | 재가복지,고래울로38번길,4,10,2827511000103470011,서해구,가좌동,2827561000,가좌4동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.486469,126.68568334,37.486469,126.68568334,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_60b659fce1f3a118,더사랑재가복지센터,계양구,작전동,인천광역시 계양구 봉오대로744번길 3 1층2호 (작전동),노인복지,재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,장기요양기관,봉오대로744번길,3,0,2824510300101020003,계양구,작전동,2824562100,작전1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,9,,,37.530036,126.73239879,37.530036,126.73239879,juso_pnu_vworld_representative_point,private_analysis_only,true
