current_admin_dong_code_20260701,current_district_name_20260701,current_dong_name_20260701,geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,mapping_status,mapping_method,mapping_confidence,aggregation_required,aggregation_group_size,metric_handling,notes
2818586000,연수구,송도5동,vworld_sgis_20250630:23040690,23040690,연수구,송도5동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820051000,남동구,구월1동,vworld_sgis_20250630:23050510,23050510,남동구,구월1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820052000,남동구,구월2동,vworld_sgis_20250630:23050521,23050521,남동구,구월2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820052100,남동구,구월3동,vworld_sgis_20250630:23050530,23050530,남동구,구월3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820052200,남동구,구월4동,vworld_sgis_20250630:23050540,23050540,남동구,구월4동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820053000,남동구,간석1동,vworld_sgis_20250630:23050550,23050550,남동구,간석1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820054000,남동구,간석2동,vworld_sgis_20250630:23050561,23050561,남동구,간석2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820055000,남동구,간석3동,vworld_sgis_20250630:23050570,23050570,남동구,간석3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820055100,남동구,간석4동,vworld_sgis_20250630:23050580,23050580,남동구,간석4동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820056000,남동구,만수1동,vworld_sgis_20250630:23050590,23050590,남동구,만수1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820057000,남동구,만수2동,vworld_sgis_20250630:23050600,23050600,남동구,만수2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820058000,남동구,만수3동,vworld_sgis_20250630:23050610,23050610,남동구,만수3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820058100,남동구,만수4동,vworld_sgis_20250630:23050620,23050620,남동구,만수4동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820058200,남동구,만수5동,vworld_sgis_20250630:23050630,23050630,남동구,만수5동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820058300,남동구,만수6동,vworld_sgis_20250630:23050640,23050640,남동구,만수6동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820065000,남동구,장수서창동,vworld_sgis_20250630:23050750,23050750,남동구,장수서창동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820065500,남동구,서창2동,vworld_sgis_20250630:23050760,23050760,남동구,서창2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820066000,남동구,남촌도림동,vworld_sgis_20250630:23050670,23050670,남동구,남촌도림동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820069000,남동구,논현1동,vworld_sgis_20250630:23050720,23050720,남동구,논현1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820070000,남동구,논현2동,vworld_sgis_20250630:23050730,23050730,남동구,논현2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2820071000,남동구,논현고잔동,vworld_sgis_20250630:23050740,23050740,남동구,논현고잔동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823751000,부평구,부평1동,vworld_sgis_20250630:23060510,23060510,부평구,부평1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823752000,부평구,부평2동,vworld_sgis_20250630:23060520,23060520,부평구,부평2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823753000,부평구,부평3동,vworld_sgis_20250630:23060530,23060530,부평구,부평3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823754000,부평구,부평4동,vworld_sgis_20250630:23060540,23060540,부평구,부평4동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823755000,부평구,부평5동,vworld_sgis_20250630:23060550,23060550,부평구,부평5동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823756000,부평구,부평6동,vworld_sgis_20250630:23060560,23060560,부평구,부평6동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823757000,부평구,산곡1동,vworld_sgis_20250630:23060570,23060570,부평구,산곡1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823758000,부평구,산곡2동,vworld_sgis_20250630:23060580,23060580,부평구,산곡2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823758100,부평구,산곡3동,vworld_sgis_20250630:23060590,23060590,부평구,산곡3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823758200,부평구,산곡4동,vworld_sgis_20250630:23060600,23060600,부평구,산곡4동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823759100,부평구,청천1동,vworld_sgis_20250630:23060610,23060610,부평구,청천1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823759200,부평구,청천2동,vworld_sgis_20250630:23060620,23060620,부평구,청천2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823764100,부평구,갈산1동,vworld_sgis_20250630:23060630,23060630,부평구,갈산1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823764200,부평구,갈산2동,vworld_sgis_20250630:23060640,23060640,부평구,갈산2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823764600,부평구,삼산1동,vworld_sgis_20250630:23060650,23060650,부평구,삼산1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823764800,부평구,삼산2동,vworld_sgis_20250630:23060720,23060720,부평구,삼산2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823765000,부평구,부개1동,vworld_sgis_20250630:23060660,23060660,부평구,부개1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823766000,부평구,부개2동,vworld_sgis_20250630:23060670,23060670,부평구,부개2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823766100,부평구,부개3동,vworld_sgis_20250630:23060680,23060680,부평구,부개3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823767000,부평구,일신동,vworld_sgis_20250630:23060690,23060690,부평구,일신동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823768000,부평구,십정1동,vworld_sgis_20250630:23060700,23060700,부평구,십정1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2823769000,부평구,십정2동,vworld_sgis_20250630:23060710,23060710,부평구,십정2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2824560100,계양구,효성1동,vworld_sgis_20250630:23070510,23070510,계양구,효성1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2824560200,계양구,효성2동,vworld_sgis_20250630:23070520,23070520,계양구,효성2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2824561100,계양구,계산1동,vworld_sgis_20250630:23070530,23070530,계양구,계산1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2824561200,계양구,계산2동,vworld_sgis_20250630:23070540,23070540,계양구,계산2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2824561300,계양구,계산3동,vworld_sgis_20250630:23070550,23070550,계양구,계산3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2824561400,계양구,계산4동,vworld_sgis_20250630:23070620,23070620,계양구,계산4동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2824562100,계양구,작전1동,vworld_sgis_20250630:23070560,23070560,계양구,작전1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2824562200,계양구,작전2동,vworld_sgis_20250630:23070570,23070570,계양구,작전2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2824564000,계양구,작전서운동,vworld_sgis_20250630:23070580,23070580,계양구,작전서운동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2824571000,계양구,계양1동,vworld_sgis_20250630:23070630,23070630,계양구,계양1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2824572000,계양구,계양2동,vworld_sgis_20250630:23070610,23070610,계양구,계양2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2824573000,계양구,계양3동,vworld_sgis_20250630:23070640,23070640,계양구,계양3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2827551500,서해구,검암경서동,vworld_sgis_20250630:23080510,23080510,서구,검암경서동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2827553000,서해구,연희동,vworld_sgis_20250630:23080531,23080531,서구,연희동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2827553600,서해구,청라1동,vworld_sgis_20250630:23080740,23080740,서구,청라1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2827553700,서해구,청라2동,vworld_sgis_20250630:23080780,23080780,서구,청라2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2827553900,서해구,청라3동,vworld_sgis_20250630:23080790,23080790,서구,청라3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
